Geo Point;Geo Shape;CODE_EXPL;NOM_EXPL;ID_HASTUS;NOM_ARRET;ADRESSE;X_PHYS;Y_PHYS;X_PROJ;Y_PROJ;X_DECALE;Y_DECALE;CONC_LIGNE;CONC_PTY;CONC_MODE;CODE_INSEE;COMMUNE
43.613040458216815, 1.3066947469545773;"{""coordinates"": [1.306694746954577, 43.613040458216815], ""type"": ""Point""}";6192449487677451;tisseo;80160;Ampère;AVENUE ANDRÉ-MARIE AMPÈRE;1563320.0;2269481.0;1563325.6;2269479.1;1563321.03094226;2269481.13069233;151;151/1;bus;31149;COLOMIERS
43.6182237827005, 1.3968472624394124;"{""coordinates"": [1.396847262439412, 43.6182237827005], ""type"": ""Point""}";6192449487677451;tisseo;60061;Ancely;AVENUE DES ARÈNES ROMAINES;1570607.0;2269914.0;;;1570607.0;2269914.0;1005;1005/22 1005/25 1005/26 1005/27 1005/5;tram;31555;TOULOUSE
43.498339086233806, 1.3668714396952277;"{""coordinates"": [1.366871439695228, 43.498339086233806], ""type"": ""Point""}";6192449487677451;tisseo;71061;Anciennes Ecoles;RUE CLÉMENT ADER;1567929.0;2256644.0;1567931.8;2256647.7;1567928.63732715;2256643.82733936;317;317/10;bus;31460;ROQUETTES
43.49850020112028, 1.366805301045148;"{""coordinates"": [1.366805301045148, 43.49850020112028], ""type"": ""Point""}";6192449487677451;tisseo;71060;Anciennes Ecoles;RUE CLÉMENT ADER;1567924.0;2256662.0;1567920.0;2256657.3;1567923.190536;2256661.14973766;317;317/11;bus;31460;ROQUETTES
43.654525981421166, 1.3752491858309563;"{""coordinates"": [1.375249185830956, 43.654525981421166], ""type"": ""Point""}";6192449487677451;tisseo;16413;Andromède-Lycée;PLACE ALAIN SAVARY;1568942.0;2273980.0;1568938.0;2273978.3;1568942.49160275;2273980.49668074;70;70/22 70/23;bus;31069;BLAGNAC
43.654178102226254, 1.3748368987318895;"{""coordinates"": [1.37483689873189, 43.654178102226254], ""type"": ""Point""}";6192449487677451;tisseo;16417;Andromède-Lycée;PLACE ALAIN SAVARY;1568908.0;2273942.0;1568914.8;2273946.0;1568910.38228216;2273943.65834031;130 74;130/11 130/4 130/8 130/9 74/14 74/15 74/16 74/17 74/7 74/9;bus;31069;BLAGNAC
43.65463013916915, 1.3749736383999727;"{""coordinates"": [1.374973638399973, 43.65463013916915], ""type"": ""Point""}";6192449487677451;tisseo;16416;Andromède-Lycée;BOULEVARD ALAIN SAVARY;1568920.0;2273992.0;1568918.6;2273997.3;1568920.46632182;2273992.66137489;70 71;70/26 71/29 71/7;bus;31069;BLAGNAC
43.60914632265954, 1.363225177332996;"{""coordinates"": [1.363225177332996, 43.60914632265954], ""type"": ""Point""}";6192449487677451;tisseo;7391;Aneto;AVENUE DE LUCHON;1567874.0;2268958.0;1567875.0;2268961.4;1567874.59695134;2268956.4162713;63;63/2;bus;31555;TOULOUSE
43.647885629724705, 1.4897656779776307;"{""coordinates"": [1.489765677977631, 43.647885629724705], ""type"": ""Point""}";6192449487677451;tisseo;10300;Antibes;AVENUE DE BAYONNE;1578165.0;2273070.0;1578164.6;2273073.5;1578166.0126101;2273068.70369593;42 SC11;42/5 SC11/5;bus scolaire;31561;L'UNION
43.47138648851991, 1.339270344899081;"{""coordinates"": [1.339270344899081, 43.47138648851991], ""type"": ""Point""}";6192449487677451;tisseo;70311;Aqualudia;AVENUE BERNARD IV;1565638.0;2253694.0;1565635.2;2253681.3;1565635.6152274;2253686.28272879;305;305/2;bus;31395;MURET
43.60164444120202, 1.4586273030138621;"{""coordinates"": [1.458627303013862, 43.60164444120202], ""type"": ""Point""}";6192449487677451;tisseo;140;Aqueduc;AVENUE CAMILLE PUJOL;1575559.0;2267979.0;1575560.5;2267982.7;1575559.38109981;2267977.82680792;L01 SC06;L01/14 L01/20 SC06/10 SC06/11 SC06/12 SC06/9;lineo scolaire;31555;TOULOUSE
43.60164353002942, 1.457884060160316;"{""coordinates"": [1.457884060160316, 43.60164353002942], ""type"": ""Point""}";6192449487677451;tisseo;141;Aqueduc;RUE DU PONT GUILHEMÉRY;1575499.0;2267980.0;1575502.8;2267974.9;1575500.56393202;2267979.37213595;L01;L01/17;lineo;31555;TOULOUSE
43.58268732392649, 1.3740275134529776;"{""coordinates"": [1.374027513452978, 43.58268732392649], ""type"": ""Point""}";6192449487677451;tisseo;171;Ardennes;CHEMIN DE RAMELET-MOUNDI;1568689.0;2266002.0;1568688.5;2266006.0;1568689.17036308;2266001.04514245;67;67/16;bus;31555;TOULOUSE
43.56476357784133, 1.2699375043592673;"{""coordinates"": [1.269937504359267, 43.56476357784133], ""type"": ""Point""}";6192449487677451;tisseo;17001;Ardennes;RUE DES LANDES;1560243.0;2264179.0;1560240.7;2264185.3;1560243.14847036;2264180.94052837;116;116/4;bus;31424;PLAISANCE-DU-TOUCH
