quartier,distance_transport_m,est_metro_proche
Saint-Cyprien / Empalot,226.1,0
Capitole / Carmes,16.8,0
Saint-Cyprien / Empalot,276.8,0
Rangueil / Saouzelong,250.1,0
Croix-Daurade / Minimes,55.6,0
Borderouge / Bagatelle,22.6,0
Borderouge / Bagatelle,227.7,0
Rangueil / Saouzelong,55.8,0
Croix-Daurade / Minimes,116.9,0
Borderouge / Bagatelle,133.9,0
Rangueil / Saouzelong,220.9,0
Saint-Cyprien / Empalot,91.6,0
Saint-Cyprien / Empalot,72.7,0
Saint-Cyprien / Empalot,264.5,0
Côte Pavée / Jolimont,32.2,0
Borderouge / Bagatelle,267.3,0
Borderouge / Bagatelle,32.0,0
Capitole / Carmes,191.2,0
Côte Pavée / Jolimont,71.0,0
Capitole / Carmes,95.7,0
Côte Pavée / Jolimont,115.5,0
Borderouge / Bagatelle,99.5,0
Capitole / Carmes,134.8,0
Saint-Cyprien / Empalot,233.7,0
Borderouge / Bagatelle,26.0,0
Côte Pavée / Jolimont,163.0,0
Saint-Cyprien / Empalot,184.0,1
Borderouge / Bagatelle,289.5,0
Borderouge / Bagatelle,22.3,0
Capitole / Carmes,159.5,0
Borderouge / Bagatelle,334.8,0
Borderouge / Bagatelle,269.5,0
Rangueil / Saouzelong,66.6,0
Rangueil / Saouzelong,138.8,0
Côte Pavée / Jolimont,43.7,0
Capitole / Carmes,49.0,0
Capitole / Carmes,52.5,0
Borderouge / Bagatelle,118.1,0
Borderouge / Bagatelle,118.1,0
Côte Pavée / Jolimont,320.9,0
Côte Pavée / Jolimont,353.3,0
Borderouge / Bagatelle,156.9,0
Borderouge / Bagatelle,202.3,0
Côte Pavée / Jolimont,216.3,1
Borderouge / Bagatelle,91.1,0
Saint-Cyprien / Empalot,84.6,0
Rangueil / Saouzelong,192.5,0
Côte Pavée / Jolimont,254.6,0
Côte Pavée / Jolimont,254.6,0
Borderouge / Bagatelle,310.8,0
Rangueil / Saouzelong,240.7,0
Rangueil / Saouzelong,325.4,0
Saint-Cyprien / Empalot,156.0,0
Saint-Cyprien / Empalot,156.0,0
Capitole / Carmes,102.1,0
Croix-Daurade / Minimes,16.3,0
Rangueil / Saouzelong,151.2,0
Côte Pavée / Jolimont,157.5,0
Côte Pavée / Jolimont,157.5,0
Borderouge / Bagatelle,191.9,0
Rangueil / Saouzelong,80.1,0
Borderouge / Bagatelle,174.9,0
Côte Pavée / Jolimont,149.6,0
Rangueil / Saouzelong,109.7,0
Saint-Cyprien / Empalot,56.0,0
Rangueil / Saouzelong,114.8,0
Borderouge / Bagatelle,288.3,0
Côte Pavée / Jolimont,110.1,0
Côte Pavée / Jolimont,158.8,0
Capitole / Carmes,86.9,0
Rangueil / Saouzelong,240.5,0
Côte Pavée / Jolimont,65.5,0
Côte Pavée / Jolimont,65.5,0
Côte Pavée / Jolimont,65.5,0
Côte Pavée / Jolimont,65.5,0
Côte Pavée / Jolimont,65.5,0
Capitole / Carmes,84.0,0
Rangueil / Saouzelong,85.6,0
Borderouge / Bagatelle,97.4,0
Capitole / Carmes,144.8,0
Capitole / Carmes,61.8,1
Borderouge / Bagatelle,91.5,0
Saint-Cyprien / Empalot,27.4,0
Saint-Cyprien / Empalot,243.3,0
Borderouge / Bagatelle,347.5,0
Capitole / Carmes,204.3,0
Saint-Cyprien / Empalot,52.4,0
Côte Pavée / Jolimont,239.8,0
Saint-Cyprien / Empalot,123.9,0
Saint-Cyprien / Empalot,43.5,0
Saint-Cyprien / Empalot,129.0,0
Saint-Cyprien / Empalot,96.7,0
Capitole / Carmes,56.5,0
Borderouge / Bagatelle,97.3,0
Borderouge / Bagatelle,170.8,0
Saint-Cyprien / Empalot,86.8,0
Croix-Daurade / Minimes,127.2,0
Côte Pavée / Jolimont,296.1,0
Capitole / Carmes,25.3,0
Capitole / Carmes,75.7,0
Côte Pavée / Jolimont,220.7,0
Croix-Daurade / Minimes,46.5,0
Rangueil / Saouzelong,111.2,0
Côte Pavée / Jolimont,107.1,0
Côte Pavée / Jolimont,166.4,1
Côte Pavée / Jolimont,79.2,0
Saint-Cyprien / Empalot,129.0,0
Saint-Cyprien / Empalot,109.2,0
Rangueil / Saouzelong,148.0,0
Capitole / Carmes,98.5,0
Côte Pavée / Jolimont,103.5,0
Rangueil / Saouzelong,120.9,0
Capitole / Carmes,96.8,0
Capitole / Carmes,64.9,0
Saint-Cyprien / Empalot,231.8,1
Croix-Daurade / Minimes,123.8,0
Rangueil / Saouzelong,156.5,1
Rangueil / Saouzelong,77.3,0
Saint-Cyprien / Empalot,248.9,0
Rangueil / Saouzelong,122.0,1
Côte Pavée / Jolimont,263.5,0
Rangueil / Saouzelong,117.0,1
Rangueil / Saouzelong,217.8,1
Capitole / Carmes,69.3,0
Borderouge / Bagatelle,132.3,0
Capitole / Carmes,178.8,0
Capitole / Carmes,91.8,1
Côte Pavée / Jolimont,233.6,0
Borderouge / Bagatelle,89.1,0
Borderouge / Bagatelle,46.8,0
Capitole / Carmes,137.5,0
Croix-Daurade / Minimes,197.3,0
Côte Pavée / Jolimont,76.8,0
Rangueil / Saouzelong,179.7,0
Rangueil / Saouzelong,54.4,0
Borderouge / Bagatelle,32.0,0
Côte Pavée / Jolimont,49.6,0
Croix-Daurade / Minimes,61.4,0
Croix-Daurade / Minimes,91.6,0
Borderouge / Bagatelle,7.1,0
Capitole / Carmes,108.7,0
Côte Pavée / Jolimont,129.3,0
Capitole / Carmes,122.9,0
Saint-Cyprien / Empalot,98.3,0
Rangueil / Saouzelong,23.1,0
Côte Pavée / Jolimont,99.5,0
Borderouge / Bagatelle,84.5,0
Borderouge / Bagatelle,84.5,0
Rangueil / Saouzelong,136.7,0
Rangueil / Saouzelong,316.5,0
Rangueil / Saouzelong,240.9,0
Côte Pavée / Jolimont,15.0,0
Saint-Cyprien / Empalot,94.3,0
Croix-Daurade / Minimes,148.6,0
Croix-Daurade / Minimes,118.7,0
Croix-Daurade / Minimes,116.9,0
Capitole / Carmes,77.9,0
Capitole / Carmes,154.0,0
Rangueil / Saouzelong,182.2,1
Côte Pavée / Jolimont,179.7,1
Capitole / Carmes,218.1,0
Borderouge / Bagatelle,159.9,0
Capitole / Carmes,168.9,0
Saint-Cyprien / Empalot,53.6,0
Borderouge / Bagatelle,251.4,0
Saint-Cyprien / Empalot,42.7,0
Capitole / Carmes,189.8,0
Borderouge / Bagatelle,117.8,0
Croix-Daurade / Minimes,145.3,0
Côte Pavée / Jolimont,122.7,0
Borderouge / Bagatelle,256.1,0
Côte Pavée / Jolimont,33.3,1
Borderouge / Bagatelle,36.7,0
Saint-Cyprien / Empalot,116.4,0
Croix-Daurade / Minimes,285.7,0
Côte Pavée / Jolimont,278.7,0
Côte Pavée / Jolimont,89.3,0
Borderouge / Bagatelle,207.9,0
Saint-Cyprien / Empalot,138.3,0
Saint-Cyprien / Empalot,192.4,0
Borderouge / Bagatelle,103.6,0
Croix-Daurade / Minimes,125.2,0
Côte Pavée / Jolimont,188.5,0
Borderouge / Bagatelle,127.7,0
Saint-Cyprien / Empalot,111.9,0
Croix-Daurade / Minimes,185.0,0
Rangueil / Saouzelong,181.3,0
Saint-Cyprien / Empalot,167.1,0
Rangueil / Saouzelong,42.9,0
Saint-Cyprien / Empalot,147.5,0
Rangueil / Saouzelong,11.9,0
Borderouge / Bagatelle,400.8,0
Rangueil / Saouzelong,119.7,0
Rangueil / Saouzelong,296.8,0
Rangueil / Saouzelong,151.4,0
Rangueil / Saouzelong,151.4,0
Croix-Daurade / Minimes,101.0,0
Croix-Daurade / Minimes,302.3,0
Borderouge / Bagatelle,76.2,0
Borderouge / Bagatelle,172.3,0
Capitole / Carmes,156.5,0
Borderouge / Bagatelle,92.7,0
Capitole / Carmes,143.6,0
Borderouge / Bagatelle,142.8,0
Capitole / Carmes,294.2,0
Saint-Cyprien / Empalot,82.3,0
Croix-Daurade / Minimes,239.6,1
Croix-Daurade / Minimes,344.2,0
Croix-Daurade / Minimes,116.3,0
Capitole / Carmes,84.7,0
Capitole / Carmes,193.3,0
Borderouge / Bagatelle,289.5,0
Saint-Cyprien / Empalot,83.9,0
Saint-Cyprien / Empalot,56.3,0
Borderouge / Bagatelle,200.3,0
Côte Pavée / Jolimont,89.8,0
Capitole / Carmes,98.8,0
Capitole / Carmes,110.0,0
Borderouge / Bagatelle,125.7,0
Borderouge / Bagatelle,61.2,1
Borderouge / Bagatelle,275.5,0
Croix-Daurade / Minimes,236.4,0
Saint-Cyprien / Empalot,161.3,0
Rangueil / Saouzelong,35.7,0
Croix-Daurade / Minimes,187.4,0
Rangueil / Saouzelong,170.4,0
Capitole / Carmes,139.0,0
Capitole / Carmes,33.1,0
Capitole / Carmes,29.2,0
Capitole / Carmes,96.8,0
Capitole / Carmes,187.5,0
Côte Pavée / Jolimont,217.8,0
Capitole / Carmes,188.2,0
Capitole / Carmes,226.5,0
Croix-Daurade / Minimes,174.5,0
Saint-Cyprien / Empalot,212.8,0
Capitole / Carmes,90.7,0
Capitole / Carmes,68.7,1
Borderouge / Bagatelle,232.0,0
Capitole / Carmes,86.9,0
Côte Pavée / Jolimont,53.0,0
Côte Pavée / Jolimont,53.0,0
Saint-Cyprien / Empalot,126.4,0
Côte Pavée / Jolimont,106.1,0
Borderouge / Bagatelle,281.3,0
Borderouge / Bagatelle,121.4,0
Croix-Daurade / Minimes,412.2,0
Rangueil / Saouzelong,196.8,0
Capitole / Carmes,89.3,0
Borderouge / Bagatelle,61.2,0
Saint-Cyprien / Empalot,67.7,0
Croix-Daurade / Minimes,136.7,0
Croix-Daurade / Minimes,136.7,0
Croix-Daurade / Minimes,136.7,0
Borderouge / Bagatelle,122.3,0
Saint-Cyprien / Empalot,178.8,1
Saint-Cyprien / Empalot,203.5,0
Saint-Cyprien / Empalot,133.8,0
Côte Pavée / Jolimont,22.2,0
Capitole / Carmes,54.9,0
Côte Pavée / Jolimont,281.6,0
Borderouge / Bagatelle,62.3,0
Croix-Daurade / Minimes,172.3,0
Croix-Daurade / Minimes,221.1,0
Côte Pavée / Jolimont,146.5,0
Rangueil / Saouzelong,235.8,0
Croix-Daurade / Minimes,123.9,0
Rangueil / Saouzelong,88.0,0
Croix-Daurade / Minimes,166.4,0
Capitole / Carmes,353.8,0
Capitole / Carmes,353.8,0
Capitole / Carmes,353.8,0
Capitole / Carmes,353.8,0
Saint-Cyprien / Empalot,68.1,0
Saint-Cyprien / Empalot,115.9,0
Rangueil / Saouzelong,133.1,0
Borderouge / Bagatelle,55.7,0
Saint-Cyprien / Empalot,231.8,1
Rangueil / Saouzelong,70.8,0
Saint-Cyprien / Empalot,99.1,0
Rangueil / Saouzelong,29.5,0
Capitole / Carmes,76.9,0
Capitole / Carmes,27.6,0
Capitole / Carmes,45.9,0
Borderouge / Bagatelle,249.4,0
Borderouge / Bagatelle,214.6,0
Capitole / Carmes,32.3,0
Rangueil / Saouzelong,125.0,0
Rangueil / Saouzelong,177.6,0
Côte Pavée / Jolimont,114.2,0
Côte Pavée / Jolimont,432.5,0
Côte Pavée / Jolimont,300.2,0
Rangueil / Saouzelong,110.4,0
Borderouge / Bagatelle,142.8,0
Rangueil / Saouzelong,265.4,0
Croix-Daurade / Minimes,355.0,0
Borderouge / Bagatelle,46.8,0
Rangueil / Saouzelong,166.8,0
Borderouge / Bagatelle,365.8,0
Saint-Cyprien / Empalot,600.6,0
Saint-Cyprien / Empalot,84.0,0
Saint-Cyprien / Empalot,32.8,0
Borderouge / Bagatelle,121.5,1
Capitole / Carmes,323.6,0
Borderouge / Bagatelle,389.6,0
Borderouge / Bagatelle,141.0,0
Capitole / Carmes,151.1,0
Rangueil / Saouzelong,143.6,0
