id_mutation,distance_transport_m,est_metro_proche,mode_arret_proche
452,214.6,0,bus
453,32.3,0,bus lineo
454,125.0,0,bus
455,177.6,0,bus
456,114.2,0,bus
457,432.5,0,lineo
458,300.2,0,lineo
459,110.4,0,lineo
460,142.8,0,bus
461,265.4,0,bus lineo
462,355.0,0,bus scolaire
463,46.8,0,bus
464,166.8,0,bus
465,365.8,0,bus lineo
466,600.6,0,lineo scolaire
467,84.0,0,lineo
468,32.8,0,tram
469,121.5,1,metro
470,323.6,0,bus
471,389.6,0,bus
472,141.0,0,bus scolaire
473,151.1,0,bus lineo
474,143.6,0,bus
475,83.4,0,bus
476,6.3,0,bus
477,179.9,0,bus lineo
478,218.8,0,bus
479,146.5,0,lineo scolaire
480,212.8,0,bus
481,73.5,0,bus
482,78.7,0,bus
