id_mutation,distance_transport_m,est_metro_proche,mode_arret_proche
5275,188.0,0,telepherique
5276,76.0,0,bus
5277,26.2,0,bus
5278,152.9,0,bus
5279,68.6,0,bus
5280,46.2,0,bus lineo scolaire
5281,97.3,0,bus
5282,334.8,0,bus
5283,136.9,0,bus
5284,77.7,0,bus scolaire
5285,165.9,0,bus
5286,63.6,0,lineo scolaire
5287,121.8,0,bus lineo scolaire
5288,120.0,0,lineo
5289,160.0,0,bus
5290,196.6,0,lineo scolaire
5291,76.7,0,lineo scolaire
5292,107.9,0,bus lineo scolaire
5293,107.9,0,bus lineo scolaire
5294,389.9,0,bus
5295,23.8,1,metro
5296,165.4,0,bus
5297,107.2,0,bus
5298,47.7,0,bus lineo scolaire
5299,152.9,0,bus
5300,88.1,0,bus
5301,409.6,0,lineo
5302,97.7,0,bus
5303,150.2,1,metro
5304,320.9,0,lineo
5305,151.4,0,bus
5306,231.0,0,lineo
5307,170.1,0,bus
5308,113.5,0,bus
5309,164.5,0,bus lineo
5310,164.5,0,bus lineo
5311,141.3,0,lineo scolaire
5312,36.9,0,bus lineo
5313,145.4,0,bus
5314,39.8,0,bus
5315,10.1,0,bus
5316,405.8,0,bus
5317,1.6,0,bus
5318,205.5,0,bus
5319,446.7,0,lineo
5320,188.1,0,bus
5321,281.0,0,bus
5322,164.4,0,lineo scolaire
5323,189.7,0,bus
5324,153.4,0,bus
5325,212.2,0,bus
5326,212.2,0,bus
5327,184.7,0,bus
5328,184.7,0,bus
5329,184.7,0,bus
5330,184.7,0,bus
5331,184.7,0,bus
5332,184.7,0,bus
5333,184.7,0,bus
5334,136.1,0,bus lineo
5335,2.0,0,bus
5336,324.6,0,bus
5337,15.0,0,bus
5338,137.0,0,bus lineo scolaire
5339,134.8,1,metro
5340,122.0,0,bus lineo
5341,54.6,0,bus
5342,144.5,0,bus lineo
5343,134.8,0,bus
5344,73.3,0,bus
5345,250.4,0,bus
5346,46.8,0,bus lineo
5347,64.2,0,bus
5348,168.6,0,lineo scolaire
5349,87.1,1,metro
5350,147.8,0,bus lineo
5351,50.2,0,bus lineo
5352,249.6,0,lineo
5353,60.1,0,bus lineo
5354,338.3,0,bus
5355,144.5,0,bus lineo
5356,213.8,0,bus
5357,235.3,0,lineo
5358,235.3,0,lineo
5359,106.6,0,bus
5360,228.9,0,bus
5361,103.6,0,bus
5362,135.4,0,bus
5363,164.2,0,bus
5364,32.2,0,lineo
5365,76.6,1,metro
5366,291.1,0,bus lineo
5367,99.0,0,bus
5368,341.9,0,bus
5369,162.9,0,bus
5370,227.7,0,bus
5371,14.2,0,bus
5372,212.2,0,bus
5373,103.9,0,bus
5374,408.6,0,lineo
5375,321.8,0,lineo
5376,281.6,0,lineo
5377,140.1,0,bus
5378,392.0,0,lineo scolaire
5379,131.2,0,bus
5380,76.7,0,bus
5381,87.6,0,bus
5382,214.1,0,bus
5383,67.9,0,bus
5384,223.0,0,bus lineo
5385,265.4,0,bus
5386,103.8,0,bus
5387,189.7,0,bus
5388,159.7,0,bus
5389,305.1,0,bus
5390,5.8,0,bus
5391,355.3,0,bus
5392,202.2,0,bus
5393,152.8,1,metro
5394,23.9,0,bus
5395,12.0,0,bus
5396,159.4,0,tram
5397,131.3,0,bus
5398,160.2,0,bus
5399,65.4,0,lineo
5400,90.2,0,lineo scolaire
5401,376.0,0,lineo scolaire
5402,53.3,0,lineo
5403,95.1,0,bus
5404,108.7,0,bus
5405,114.2,0,bus lineo
5406,163.5,0,bus lineo
5407,58.3,0,bus
5408,139.2,0,lineo
5409,115.0,0,bus lineo
