surface_m2,nb_pieces,is_maison,revenu_median_mensuel,taux_pauvrete_pct,population_2019,part_jeunes_pct,part_seniors_pct,mois_mutation,distance_transport_m,est_metro_proche,q_Bagatelle / Reynerie,q_Borderouge / Croix-Daurade,q_Capitole / Carmes,q_Côte Pavée / Jolimont,q_Rangueil / Saouzelong,q_Saint-Cyprien / Arènes
34.0,2,0,2155.0,15.3,70863,28.8,15.8,3,,,False,False,False,False,False,True
46.0,2,0,1956.6,18.3,66372,26.5,15.3,10,60.2,0.0,True,False,False,False,False,False
43.0,2,0,1935.5,19.1,96734,32.2,13.0,4,239.7,0.0,False,True,False,False,False,False
64.0,3,0,1935.5,19.1,96734,32.2,13.0,9,,,False,True,False,False,False,False
34.0,1,0,2324.5,16.1,83796,41.1,13.4,6,,,False,False,True,False,False,False
22.0,1,0,2324.5,16.1,83796,41.1,13.4,10,,,False,False,True,False,False,False
158.0,6,1,1956.6,18.3,66372,26.5,15.3,2,88.9,0.0,True,False,False,False,False,False
44.0,2,0,2155.0,15.3,70863,28.8,15.8,6,,,False,False,False,False,False,True
88.0,3,0,1638.4,25.8,70238,27.7,10.2,9,,,False,False,False,True,False,False
25.0,1,0,1638.4,25.8,70238,27.7,10.2,2,89.2,0.0,False,False,False,True,False,False
60.0,3,0,1956.6,18.3,66372,26.5,15.3,4,78.3,0.0,True,False,False,False,False,False
52.0,2,0,1638.4,25.8,70238,27.7,10.2,7,85.1,0.0,False,False,False,True,False,False
67.0,3,0,1935.5,19.1,96734,32.2,13.0,3,,,False,True,False,False,False,False
35.0,2,0,2324.5,16.1,83796,41.1,13.4,10,,,False,False,True,False,False,False
38.0,2,0,2324.5,16.1,83796,41.1,13.4,3,,,False,False,True,False,False,False
65.0,2,0,2324.5,16.1,83796,41.1,13.4,6,68.5,1.0,False,False,True,False,False,False
77.0,4,0,1935.5,19.1,96734,32.2,13.0,10,,,False,True,False,False,False,False
98.0,4,1,1956.6,18.3,66372,26.5,15.3,3,,,True,False,False,False,False,False
52.0,3,0,2155.0,15.3,70863,28.8,15.8,11,,,False,False,False,False,False,True
137.0,6,1,1935.5,19.1,96734,32.2,13.0,9,188.2,0.0,False,True,False,False,False,False
39.0,2,0,1935.5,19.1,96734,32.2,13.0,3,,,False,True,False,False,False,False
108.0,5,1,1935.5,19.1,96734,32.2,13.0,7,159.8,0.0,False,True,False,False,False,False
46.0,2,0,1956.6,18.3,66372,26.5,15.3,7,249.0,0.0,True,False,False,False,False,False
18.0,1,0,2324.5,16.1,83796,41.1,13.4,12,,,False,False,True,False,False,False
62.0,3,0,2155.0,15.3,70863,28.8,15.8,6,,,False,False,False,False,False,True
82.0,3,0,2324.5,16.1,83796,41.1,13.4,9,,,False,False,True,False,False,False
68.0,3,0,1529.5,36.2,105462,32.7,11.3,7,,,False,False,False,False,True,False
66.0,4,0,1935.5,19.1,96734,32.2,13.0,7,,,False,True,False,False,False,False
43.0,2,0,1935.5,19.1,96734,32.2,13.0,12,,,False,True,False,False,False,False
100.0,3,1,1638.4,25.8,70238,27.7,10.2,7,238.8,0.0,False,False,False,True,False,False
42.0,2,0,1956.6,18.3,66372,26.5,15.3,10,179.4,0.0,True,False,False,False,False,False
74.0,4,0,1638.4,25.8,70238,27.7,10.2,5,,,False,False,False,True,False,False
70.0,3,1,1638.4,25.8,70238,27.7,10.2,1,32.2,0.0,False,False,False,True,False,False
67.0,3,0,1529.5,36.2,105462,32.7,11.3,9,213.8,0.0,False,False,False,False,True,False
50.0,2,0,2324.5,16.1,83796,41.1,13.4,11,138.4,0.0,False,False,True,False,False,False
61.0,3,0,2155.0,15.3,70863,28.8,15.8,5,67.4,0.0,False,False,False,False,False,True
56.0,3,0,2155.0,15.3,70863,28.8,15.8,7,,,False,False,False,False,False,True
22.0,1,0,1529.5,36.2,105462,32.7,11.3,5,174.5,0.0,False,False,False,False,True,False
50.0,2,0,2324.5,16.1,83796,41.1,13.4,3,142.2,0.0,False,False,True,False,False,False
72.0,4,0,2324.5,16.1,83796,41.1,13.4,2,,,False,False,True,False,False,False
41.0,2,0,1935.5,19.1,96734,32.2,13.0,4,,,False,True,False,False,False,False
61.0,3,0,2155.0,15.3,70863,28.8,15.8,12,355.3,0.0,False,False,False,False,False,True
80.0,3,0,1638.4,25.8,70238,27.7,10.2,4,345.2,0.0,False,False,False,True,False,False
68.0,3,1,1638.4,25.8,70238,27.7,10.2,12,,,False,False,False,True,False,False
43.0,2,0,2324.5,16.1,83796,41.1,13.4,12,46.8,0.0,False,False,True,False,False,False
47.0,2,0,2155.0,15.3,70863,28.8,15.8,10,,,False,False,False,False,False,True
42.0,2,0,1956.6,18.3,66372,26.5,15.3,1,,,True,False,False,False,False,False
31.0,1,0,1529.5,36.2,105462,32.7,11.3,9,,,False,False,False,False,True,False
69.0,3,0,1935.5,19.1,96734,32.2,13.0,5,,,False,True,False,False,False,False
36.0,2,0,1529.5,36.2,105462,32.7,11.3,4,,,False,False,False,False,True,False
56.0,2,1,1638.4,25.8,70238,27.7,10.2,3,,,False,False,False,True,False,False
50.0,2,0,1638.4,25.8,70238,27.7,10.2,9,,,False,False,False,True,False,False
25.0,1,0,1935.5,19.1,96734,32.2,13.0,3,348.6,0.0,False,True,False,False,False,False
116.0,4,1,1956.6,18.3,66372,26.5,15.3,3,,,True,False,False,False,False,False
54.0,3,0,2155.0,15.3,70863,28.8,15.8,8,,,False,False,False,False,False,True
22.0,1,0,2155.0,15.3,70863,28.8,15.8,6,517.4,0.0,False,False,False,False,False,True
42.0,3,0,2324.5,16.1,83796,41.1,13.4,3,,,False,False,True,False,False,False
29.0,1,0,2324.5,16.1,83796,41.1,13.4,8,,,False,False,True,False,False,False
47.0,2,0,1956.6,18.3,66372,26.5,15.3,7,103.0,0.0,True,False,False,False,False,False
59.0,2,0,1638.4,25.8,70238,27.7,10.2,9,,,False,False,False,True,False,False
96.0,4,1,1529.5,36.2,105462,32.7,11.3,4,,,False,False,False,False,True,False
62.0,3,0,2324.5,16.1,83796,41.1,13.4,11,226.5,0.0,False,False,True,False,False,False
19.0,1,0,2155.0,15.3,70863,28.8,15.8,9,,,False,False,False,False,False,True
89.0,4,0,2324.5,16.1,83796,41.1,13.4,6,,,False,False,True,False,False,False
54.0,2,0,1935.5,19.1,96734,32.2,13.0,7,,,False,True,False,False,False,False
74.0,3,0,2324.5,16.1,83796,41.1,13.4,10,67.6,0.0,False,False,True,False,False,False
12.0,1,0,2324.5,16.1,83796,41.1,13.4,11,193.8,0.0,False,False,True,False,False,False
44.0,2,0,1935.5,19.1,96734,32.2,13.0,11,,,False,True,False,False,False,False
46.0,2,0,1638.4,25.8,70238,27.7,10.2,5,,,False,False,False,True,False,False
65.0,4,0,1638.4,25.8,70238,27.7,10.2,4,115.1,1.0,False,False,False,True,False,False
29.0,2,0,2324.5,16.1,83796,41.1,13.4,11,,,False,False,True,False,False,False
87.0,4,1,1956.6,18.3,66372,26.5,15.3,1,41.8,0.0,True,False,False,False,False,False
44.0,2,0,1529.5,36.2,105462,32.7,11.3,9,,,False,False,False,False,True,False
42.0,2,0,2324.5,16.1,83796,41.1,13.4,11,,,False,False,True,False,False,False
45.0,2,0,1956.6,18.3,66372,26.5,15.3,8,,,True,False,False,False,False,False
